hour,symbol,price,__row_index
2025-01-06T23:00:00.000Z,ARB,0.920509,0
2025-01-06T23:00:00.000Z,CRV,0.991465,1
2025-01-06T23:00:00.000Z,GMX,28.86,2
2025-01-06T23:00:00.000Z,GRT,0.245619,3
2025-01-06T23:00:00.000Z,LINK,23.85,4
2025-01-06T23:00:00.000Z,MAGIC,0.60189,5
2025-01-06T23:00:00.000Z,PENDLE,5.36,6
2025-01-06T23:00:00.000Z,UNI,15.07,7
2025-01-06T23:00:00.000Z,WBTC,101374.0,8
2025-01-06T23:00:00.000Z,WETH,3673.69,9
2025-01-06T22:00:00.000Z,ARB,0.925301,10
2025-01-06T22:00:00.000Z,CRV,0.995799,11
2025-01-06T22:00:00.000Z,GMX,29.05,12
2025-01-06T22:00:00.000Z,GRT,0.247726,13
2025-01-06T22:00:00.000Z,LINK,23.94,14
2025-01-06T22:00:00.000Z,MAGIC,0.604624,15
2025-01-06T22:00:00.000Z,PENDLE,5.4,16
2025-01-06T22:00:00.000Z,UNI,15.12,17
2025-01-06T22:00:00.000Z,WBTC,101571.0,18
2025-01-06T22:00:00.000Z,WETH,3681.52,19
2025-01-06T21:00:00.000Z,ARB,0.928303,20
2025-01-06T21:00:00.000Z,CRV,1.003,21
2025-01-06T21:00:00.000Z,GMX,29.22,22
2025-01-06T21:00:00.000Z,GRT,0.248191,23
2025-01-06T21:00:00.000Z,LINK,23.95,24
2025-01-06T21:00:00.000Z,MAGIC,0.606252,25
2025-01-06T21:00:00.000Z,PENDLE,5.41,26
2025-01-06T21:00:00.000Z,UNI,15.18,27
2025-01-06T21:00:00.000Z,WBTC,101512.0,28
2025-01-06T21:00:00.000Z,WETH,3696.04,29
2025-01-06T20:00:00.000Z,ARB,0.929051,30
2025-01-06T20:00:00.000Z,CRV,1.002,31
2025-01-06T20:00:00.000Z,GMX,29.19,32
2025-01-06T20:00:00.000Z,GRT,0.247019,33
2025-01-06T20:00:00.000Z,LINK,23.93,34
2025-01-06T20:00:00.000Z,MAGIC,0.609197,35
2025-01-06T20:00:00.000Z,PENDLE,5.37,36
2025-01-06T20:00:00.000Z,UNI,15.11,37
2025-01-06T20:00:00.000Z,WBTC,101454.0,38
2025-01-06T20:00:00.000Z,WETH,3685.23,39
2025-01-06T19:00:00.000Z,ARB,0.931606,40
2025-01-06T19:00:00.000Z,CRV,0.999251,41
2025-01-06T19:00:00.000Z,GMX,29.36,42
2025-01-06T19:00:00.000Z,GRT,0.247315,43
2025-01-06T19:00:00.000Z,LINK,23.92,44
2025-01-06T19:00:00.000Z,MAGIC,0.607634,45
2025-01-06T19:00:00.000Z,PENDLE,5.37,46
2025-01-06T19:00:00.000Z,UNI,15.05,47
2025-01-06T19:00:00.000Z,WBTC,101130.0,48
2025-01-06T19:00:00.000Z,WETH,3671.92,49
2025-01-06T18:00:00.000Z,ARB,0.942117,50
2025-01-06T18:00:00.000Z,CRV,1.025,51
2025-01-06T18:00:00.000Z,GMX,30.01,52
2025-01-06T18:00:00.000Z,GRT,0.251622,53
2025-01-06T18:00:00.000Z,LINK,24.37,54
2025-01-06T18:00:00.000Z,MAGIC,0.61558,55
2025-01-06T18:00:00.000Z,PENDLE,5.49,56
2025-01-06T18:00:00.000Z,UNI,15.37,57
2025-01-06T18:00:00.000Z,WBTC,101692.0,58
2025-01-06T18:00:00.000Z,WETH,3719.62,59
