symbol,token_address,latest_hour,latest_price,sixty_day_price,sixty_d_return,rolling_7d_avg,rolling_30d_avg,volume,average_order,__row_index,original_latest_hour
CRV,0x11cdb42b0eb46d95f990bedd4695a6e3fa034978,2024-12-16 02:00:00+00:00,1.15,0.29075,2.955288048,1.129337533,0.7527076311,52068801.85,625.902173939,0,2024-12-16 02:00:00+00:00
LINK,0xf97f4df75117a78c1a5a0dbb814af92458539fb4,2024-12-16 02:00:00+00:00,29.34,13.84,1.119942197,26.477810651,20.614285714,156927181.97,1008.17956474,1,2024-12-16 02:00:00+00:00
UNI,0xfa7f8980b0f1e64a2062791cc3b0871572f1f7f0,2024-12-16 02:00:00+00:00,17.31,8.54,1.026932084,16.874615385,13.35667129,23703392.02,538.79917305,2,2024-12-16 02:00:00+00:00
ARB,0x912ce59144191c1204e64559fe8253a0e49e6548,2024-12-16 02:00:00+00:00,1.033,0.609757,0.6941174927,1.009794219,0.9304368377,1942698928.35,987.384088073,3,2024-12-16 02:00:00+00:00
MAGIC,0x539bde0d7dbd336b79148aa742883198bbf60342,2024-12-16 02:00:00+00:00,0.618469,0.372643,0.6596823233,0.6153418698,0.5499028835,28561261.52,348.993285842,4,2024-12-16 02:00:00+00:00
GRT,0x9623063377ad1b27544c965ccd7342f7ea7e88c7,2024-12-16 02:00:00+00:00,0.290933,0.184023,0.5809599887,0.2790755148,0.2670610555,16157733.64,493.57690738,5,2024-12-16 02:00:00+00:00
GMX,0xfc5a1a6eb076a2c7ad06ed22c90d7e710e35ad0a,2024-12-16 02:00:00+00:00,38.7,27.43,0.4108640175,39.02295858,33.735423024,58312405.24,831.668048777,6,2024-12-16 02:00:00+00:00
WETH,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,2024-12-16 02:00:00+00:00,3992.52,3101.03,0.2874819012,3840.036982249,3581.746588072,12768303210.19,1985.605203349,7,2024-12-16 02:00:00+00:00
PENDLE,0x0c880f6761f1af8d9aa9c466984b80dab9a8c9e8,2024-12-16 02:00:00+00:00,6.25,5.27,0.1859582543,5.973491124,5.73667129,286955647.88,1007.059800803,8,2024-12-16 02:00:00+00:00
WBTC,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,2024-12-16 02:00:00+00:00,105146.0,90781.0,0.1582379573,99561.781065089,96637.26629681,2611186556.37,2823.725555183,9,2024-12-16 02:00:00+00:00
