hour,LINK_Price,DPI_Price,UNI_Price
2024-11-01 00:00:00+00:00,11.4,78.08,7.65
2024-11-01 01:00:00+00:00,11.41,78.03,7.6
2024-11-01 02:00:00+00:00,11.41,77.49,7.66
2024-11-01 03:00:00+00:00,11.36,77.54,7.65
2024-11-01 04:00:00+00:00,11.37,77.98,7.73
2024-11-01 05:00:00+00:00,11.44,78.47,7.72
2024-11-01 06:00:00+00:00,11.47,78.8,7.77
2024-11-01 07:00:00+00:00,11.42,78.73,7.76
2024-11-01 08:00:00+00:00,11.34,78.52,7.75
2024-11-01 09:00:00+00:00,11.32,77.87,7.72
2024-11-01 10:00:00+00:00,11.32,78.15,7.8
2024-11-01 11:00:00+00:00,11.34,78.35,7.79
2024-11-01 12:00:00+00:00,11.31,78.58,7.79
2024-11-01 13:00:00+00:00,11.33,78.5,7.78
2024-11-01 14:00:00+00:00,11.4,76.74,7.93
2024-11-01 15:00:00+00:00,11.66,80.5,7.94
2024-11-01 16:00:00+00:00,11.6,79.63,7.97
2024-11-01 17:00:00+00:00,11.3,78.36,7.79
2024-11-01 18:00:00+00:00,11.46,76.38,7.79
2024-11-01 19:00:00+00:00,11.32,78.84,7.73
2024-11-01 20:00:00+00:00,11.33,75.85,7.66
2024-11-01 21:00:00+00:00,11.34,75.92,7.59
2024-11-01 22:00:00+00:00,11.23,77.16,7.61
2024-11-01 23:00:00+00:00,11.23,77.2,7.58
2024-11-02 00:00:00+00:00,11.27,77.58,7.54
2024-11-02 01:00:00+00:00,11.26,77.6,7.56
2024-11-02 02:00:00+00:00,11.28,77.6,7.55
2024-11-02 03:00:00+00:00,11.3,77.88,7.66
2024-11-02 04:00:00+00:00,11.35,78.25,7.66
2024-11-02 05:00:00+00:00,11.29,78.05,7.58
2024-11-02 06:00:00+00:00,11.23,75.66,7.55
2024-11-02 07:00:00+00:00,11.29,75.71,7.53
2024-11-02 08:00:00+00:00,11.22,75.7,7.52
2024-11-02 09:00:00+00:00,11.27,77.21,7.49
2024-11-02 10:00:00+00:00,11.18,76.96,7.47
2024-11-02 11:00:00+00:00,11.21,76.69,7.45
2024-11-02 12:00:00+00:00,11.18,76.73,7.44
2024-11-02 13:00:00+00:00,11.18,76.67,7.42
2024-11-02 14:00:00+00:00,11.18,76.13,7.37
2024-11-02 15:00:00+00:00,11.11,75.9,7.34
2024-11-02 16:00:00+00:00,11.12,75.58,7.36
2024-11-02 17:00:00+00:00,11.15,75.54,7.32
2024-11-02 18:00:00+00:00,11.19,75.8,7.39
2024-11-02 19:00:00+00:00,11.11,75.32,7.35
2024-11-02 20:00:00+00:00,11.15,75.39,7.36
2024-11-02 21:00:00+00:00,11.17,75.42,7.4
2024-11-02 22:00:00+00:00,11.25,75.51,7.39
2024-11-02 23:00:00+00:00,11.22,75.53,7.38
2024-11-03 00:00:00+00:00,11.19,75.52,7.34
2024-11-03 01:00:00+00:00,11.17,75.63,7.38
2024-11-03 02:00:00+00:00,11.16,75.55,7.4
2024-11-03 03:00:00+00:00,11.18,75.41,7.35
2024-11-03 04:00:00+00:00,10.92,73.73,7.2
2024-11-03 05:00:00+00:00,11.0,73.85,7.2
2024-11-03 06:00:00+00:00,11.0,73.87,7.21
2024-11-03 07:00:00+00:00,10.95,73.53,7.17
2024-11-03 08:00:00+00:00,11.01,73.68,7.2
2024-11-03 09:00:00+00:00,10.99,73.67,7.14
2024-11-03 10:00:00+00:00,10.99,73.99,7.15
2024-11-03 11:00:00+00:00,10.95,73.37,7.16
2024-11-03 12:00:00+00:00,11.0,73.64,7.19
2024-11-03 13:00:00+00:00,10.92,73.47,7.13
2024-11-03 14:00:00+00:00,10.9,72.91,7.17
2024-11-03 15:00:00+00:00,10.74,72.17,7.03
2024-11-03 16:00:00+00:00,10.58,71.35,6.95
2024-11-03 17:00:00+00:00,10.75,71.87,6.96
2024-11-03 18:00:00+00:00,10.65,71.46,6.95
2024-11-03 19:00:00+00:00,10.71,71.65,6.96
2024-11-03 20:00:00+00:00,10.67,70.72,6.86
2024-11-03 21:00:00+00:00,10.71,71.69,6.97
2024-11-03 22:00:00+00:00,10.79,72.17,7.04
2024-11-03 23:00:00+00:00,10.77,72.66,7.07
2024-11-04 00:00:00+00:00,10.79,72.49,7.07
2024-11-04 01:00:00+00:00,10.76,72.38,7.06
2024-11-04 02:00:00+00:00,10.66,72.1,7.0
2024-11-04 03:00:00+00:00,10.8,73.01,7.08
2024-11-04 04:00:00+00:00,10.83,73.35,7.09
2024-11-04 05:00:00+00:00,10.8,73.01,7.05
2024-11-04 06:00:00+00:00,10.79,72.9,7.01
2024-11-04 07:00:00+00:00,10.72,72.18,6.92
