symbol,token_address,latest_hour,latest_price,sixty_day_price,sixty_d_return,rolling_7d_avg,rolling_30d_avg,volume,average_order,__row_index,original_latest_hour
SPELL,0x3e6648c5a70a150a88bce65f4ad4d506fe15d2af,2025-01-29 01:00:00+00:00,0.00174347,0.00074192,1.34994339,0.00117054858,0.0008900674341,1118547.75,165.294480567,0,2025-01-29 01:00:00+00:00
HEGIC,0x431402e8b9de9aa016c743880e04e517074d8cec,2025-01-29 01:00:00+00:00,0.03460392,0.01674204,1.066887906,0.02247841065,0.01990458126,1922582.43,7200.683258427,1,2025-01-29 01:00:00+00:00
EQB,0xbfbcfe8873fe28dfa25f1099282b088d52bbad9c,2025-01-29 01:00:00+00:00,0.48467,0.309954,0.5636836434,0.4511444793,0.3894806241,734217.9,584.103341289,2,2025-01-29 01:00:00+00:00
SPA,0x5575552988a3a80504bbaeb1311674fcfd40ad4b,2025-01-29 01:00:00+00:00,0.01739365,0.01479504,0.1756406201,0.01628163284,0.0149348146,1292297.58,109.973413327,3,2025-01-29 01:00:00+00:00
LINK,0xf97f4df75117a78c1a5a0dbb814af92458539fb4,2025-01-29 01:00:00+00:00,22.6,20.81,0.0860163383,24.88964497,22.687461859,106601107.83,1212.313012669,4,2025-01-29 01:00:00+00:00
WBTC,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,2025-01-29 01:00:00+00:00,100853.0,93039.0,0.08398628532,103399.00591716,98873.531206657,2561531907.53,2908.075650497,5,2025-01-29 01:00:00+00:00
USX,0x641441c631e2f909700d2f41fd87f0aa6a6b4edb,2025-01-29 01:00:00+00:00,1.013,0.997189,0.01585557001,1.000295467,0.9970424258,941024.23,471.927898696,6,2025-01-29 01:00:00+00:00
DOLA,0x6a7661795c374c0bfc635934efaddff3a7ee23b6,2025-01-29 01:00:00+00:00,0.992299,0.984695,0.007722188089,0.9893869112,0.9868740624,668313.63,1275.40769084,7,2025-01-29 01:00:00+00:00
LDO,0x13ad51ed4f1b7e9dc168d8a00cb3f4ddd85efa60,2025-01-29 01:00:00+00:00,1.78,1.77,0.005649717514,1.944378698,1.844493759,4525077.46,308.542033274,8,2025-01-29 01:00:00+00:00
FRAX,0x17fc002b466eec40dae837fc4be5c67993ddbd6f,2025-01-29 01:00:00+00:00,0.996983,0.994444,0.002553185499,0.9966286627,0.996051147,2191714.47,173.697453638,9,2025-01-29 01:00:00+00:00
